No Perolehan,ISBN,Title,Author,Publisher,Year,Pages,Price,Language,Type,Dewey,Initial,Quantity,,
00001,9780500201183,A Concise History of Posters,John Barnicoat,Thomas and Hudson,1972,288,22.30,English,NF,769.5,BAR,1,,
00002,9789812291783,Dragon Tales China's History from Tang to Qing,Lin Shan,Asiapac Books,2001,218,Dihadiahkan,English,F,FE,SHA,6,,
00003,9780446570961,The Last Song,Nicholas Sparks,Grand Central Publishing,2010,463,54.95,English,F,FE,SPA,1,,
00004,9789678603126,Aliran Dakwah Di Malaysia,Abdul Rahman Hj Abdullah,Karya Bestari,2007,347,Dihadiahkan,Malay,NF,297.81,ABD,2,,
00005,9789831245262,Cinta Edisi Terhad,Lynn Dayana,Alaf 21,2010,489,19.90,Malay,NF,899.23,LYN,1,,
00006,9789670567099,Nak Bercinta Dengan Saya Tak? ,Katrins Adam,Penulisan Enterprise,2013,616,24.00,Malay,F,FM,ADA,1,,
00007,9786297665023,Senyum Yang Tersembunyi by Melni  ,Melni,Iman Publication,2024,305,32.00,Malay,NF,899.23,MEL,1,,
00008,9789622582934,Reader's Digest Bilingual Selections : Always By Your Side ,Peter Dockrill,Reader's Digest Association Far East Limited,2003,203,49.00,English,NF,428.2,REA,32,,
00009,9789839214031,How To Get Good Grades And Still Keep Yo,Kris Bearss,Advantage Quest Publications,2009,152,19.90,English,NF,373.13,BEA,1,,
00010,9789832334446,Petunjuk Jalan Kekayaan,Rusly Abdullah,Al-Ameen Serve Holdings,2004,254,29.00,Malay,NF,158.1,RUS,2,,
00011,9789812291493,Jokes & Comic Tales from India,Kum Fatt Chong,Asiapac Books,2003,121,Dihadiahkan,English,NF,808.88,KFC,26,,
00012,9789812291509,Jokes & Comic Tales from Japan,Kum Fatt Chong,Asiapac Books,2003,120,Dihadiahkan,English,NF,808.88,KFC,3,,
00013,9789675248399,Kisah Parang Punting,Badrul Risham Naruddin,Edujaya,2010,110,Dihadiahkan,Malay,NF,398.2,BRN,1,,
00014,9789675248351,Puteri Bulan Purnama,Badrul Risham Naruddin,Edujaya,2010,110,Dihadiahkan,Malay,NF,398.2,BRN,1,,
00015,9789675248542,Gajah Yang Pintar,Kelsom Masri,Edujaya,2011,110,Dihadiahkan,Malay,NF,899.23,KEL,1,,
00016,9789835807664,Lima Ke Mur Misteri,Enid Blyton,Federal Publications,2003,201,Dihadiahkan,Malay,NF,823.91,BLY,1,,
00017,9780861636112,The Little Brownie House,Enid Blyton,Award Publications,2002,192,10.90,English,F,FE,BLY,1,,
00018,9781841350196,The Tale of Bushy the Fox,Enid Blyton,Award Publications,2000,192,9.90,English,F,FE,BLY,1,,
00019,9789813056466,My Creepy Computer & There's a Ghost in My Photo!,James Lee,Angsana Books,2002,124,9.90,English,F,FE,LEE,1,,
00020,9789675248504,Awang Biring Sikunani,Kelsom Masri,Edujaya,2011,110,Dihadiahkan,Malay,NF,899.23,KEL,1,,
00021,9789833036226,Mentari Kembali Bersinar,Suziana Che Wil,Caberawet Publishing Sdn. Bhd,2005,66,7.50,Malay,NF,499.23,SUZ,1,,
00022,9781338052855,Thea Stilton Mouseford Academy: Mice on the Runway,Thea Stilton,Scholastic,2018,112,23.90,English,F,FE,THE,1,,
00023,9789679300154,40 Glorious Years,Seameo Recsam,Seameo Recsam,2007,124,Dihadiahkan,English,NF,370,REC,1,,
00024,9789670342474,Tanya Pakar ,Norintan Zainal Shah,Grupbuku Karangkraf,2012,100,16.00,Malay,NF,618.2,NOR,8,,
00025,9781292220383,Business Statistics : A Decision-Making Approach,"David F. Groebner, Patrick W. Shannon, Phillip C. Fry",Pearson Higher Education & Professional Group,2018,842,139.00,English,NF,310,GRO,1,,
00026,9781292215839,"Management, Global Edition","Stephen P. Robbins, Mary A. Coulter",Pearson Higher Education & Professional Group,2017,751,38.35,English,NF,658,ROB,1,,
00027,9780538453424,Principles of Economics,N. Gregory Mankiw,South-Western Cengage Learning,2012,856,169.00,English,NF,330,MAN,1,,
00028,9781292093260,Business Communication Essentials,Courtland L. Bovee; John V. Thill,PEARSON,2015,522,42.35,English,NF,650,BOV,1,,
00029,9789833252145,Journeys of the Heart The Malaysian Family ,"Ministry of Women, Family and Community Development","Ministry of Women, Family and Community Development",2007,202,Dihadiahkan,English,NF,360,MIN,1,,
